Band,Bauwerk,Modul,Eigenschaft,Literaturangabe,Autor,Eingabe komplett,"Datenbankeintrag (Bild, Kurztext, Literaturverweis, basis Strukturdaten)",Notiz,Seite_von,Seite_bis,Ort
"Band 3, I","München, Dreifaltigkeitskirche",0,Sakral,"Dreifaltigkeitskirche, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 19-36.","Sinkel, Kristin/Bauer-Wild, Anna",,X,,19,36,München
"Band 3, I","München, St. Johann Nepomuk, sog. Asamkirche",0,Sakral,"St. Johann Nepomuk, sog. Asamkirche, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 37-52.","Sinkel, Kristin",X,X,,37,52,München
"Band 3, I","München, ehem. Karmeliterkloster",0,Sakral,"Ehem. Karmeliterkloster, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 53-56.","Böhm, Cordula",,X,,53,56,München
"Band 3, I","München, Theatinerkirche St. Kajetan",0,Sakral,"Theatinerkirche St. Kajetan, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 57-58.","Bauer-Wild, Anna",,X,,57,58,München
"Band 3, I","München-Aubing, Pfarrkirche St. Quirin",0,Sakral,"Aubing, St. Quirin, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 61.","Böhm, Cordula",,X,,61,61,München-Aubing
"Band 3, I","München-Baumkirchen, Pfarrkirche St. Stephan",0,Sakral,"Baumkirchen, St. Stephan, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 62-63.","Böhm, Cordula",,X,,62,63,München-Baumkirchen
"Band 3, I","München (Berg am Laim), Stadtpfarrkirche St. Michael",0,Sakral,"Berg am Laim, St. Michail, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 64-72.","Bauer-Wild, Anna",,X,,64,72,München (Berg am Laim)
"Band 3, I","München-Bogenhausen, Filialkirche St. Georg",0,Sakral,"Bogenhausen, St. Georg, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 73-78.","Böhm, Cordula",,X,,73,78,München-Bogenhausen
"Band 3, I","München-Fröttmaning, Filialkirche Hl. Kreuz",0,Sakral,"Fröttmaning, Hl. Kreuz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 79-81.","Böhm, Cordula",,X,,79,81,München-Fröttmaning
"Band 3, I","München-Harlaching, Filial- und Wallfahrtskirche St. Anna",0,Sakral,"Harlaching, St. Anna, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 82-85.","Lüdicke, Lore",,X,,82,85,München-Harlaching
"Band 3, I","München-Lochhausen, Pfarrkirche St. Michael",0,Sakral,"Lochhausen, St. Michael, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 86-88.","Böhm, Cordula",,X,,86,88,München-Lochhausen
"Band 3, I","München-Moosach, Alte Pfarrkirche St. Martin",0,Sakral,"Moosach, St. Martin, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 89-92.","Sinkel, Kristin",,X,,89,92,München-Moosach
"Band 3, I","München-Perlach, Pfarrkirche St. Michael",0,Sakral,"Perlach, St. Michael, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 93-96.","Böhm, Cordula",,X,,93,96,München-Perlach
"Band 3, I","München-Sendling, Alte Pfarrkirche St. Margareta",0,Sakral,"Sendling, St. Margareta, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 97-101.","Böhm, Cordula",,X,,97,101,München-Sendling
"Band 3, I","München-Thalkirchen, Pfarr- und Wallfahrtskirche St. Maria",0,Sakral,"Thalkirchen, St. Maria, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 102-106.","Lüdicke, Lore",,X,,102,106,München-Thalkirchen
"Band 3, I","Arget, Kath. Pfarrkirche St. Michael",0,Sakral,"Arget, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 109-111.","Böhm, Cordula",,X,,109,111,Arget
"Band 3, I","Garching bei München, Alte Pfarrkirche St. Katharina",0,Sakral,"Garching, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 112-116.","Böhm, Cordula",,X,,112,116,Garching bei München
"Band 3, I","Großhesselohe, Dreifaltigkeitskapelle",0,Sakral,"Grosshesselohe, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 117-119.","Sinkel, Kristin",,X,,117,119,Großhesselohe
"Band 3, I","Höhenkirchen, Pfarrkirche Mariä Geburt",0,Sakral,"Höhenkirchen, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 120-121.","Böhm, Cordula",,X,,120,121,Höhenkirchen
"Band 3, I","Hofolding, Kuratiekirche Heilig Kreuz",0,Sakral,"Hofolding, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 122-126.","Böhm, Cordula",,X,,122,126,Hofolding
"Band 3, I","Hohenbrunn, Pfarrkirche St. Stephan",0,Sakral,"Hohenbrunn, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 127-130.","Böhm, Cordula/Lüdicke, Lore",X,X,Von Johanna Wild währnd ihres Praktikums im August 2024 eingegeben; Korrektur und Nachbearbeitung von TB,127,130,Hohenbrunn
"Band 3, I","Hohenschäftlarn, Pfarrkirche St. Georg",0,Sakral,"Hohenschäftlarn, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 131-133.","Böhm, Cordula/Lüdicke, Lore",,X,,131,133,Hohenschäftlarn
"Band 3, I","Kleinhelfendorf, Marterkapelle St. Emmeram",0,Sakral,"Kleinhelfendorf, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 134-136.","Böhm, Cordula",,X,,134,136,Kleinhelfendorf
"Band 3, I","Kreuzpullach, Filial- und Wallfahrtskirche Heilig Kreuz",0,Sakral,"Kreuzpullach, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 137-141.","Böhm, Cordula/Lüdicke, Lore",,X,,137,141,Kreuzpullach
"Band 3, I","Lanzenhaar, Filialkirche St. Ulrich",0,Sakral,"Lanzenhaar, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 142-143.","Böhm, Cordula",,X,,142,143,Lanzenhaar
"Band 3, I","Ottendichl, Pfarrkirche St. Martin",0,Sakral,"Ottendichl, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 144-148.","Böhm, Cordula",,X,,144,148,Ottendichl
"Band 3, I","Schäftlarn, Ehem. Prämonstratenserabteikirche St. Dionysius und Juliana",0,Sakral,"Schäftlarn, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 149-159.","Bauer-Wild, Anna",,X,,149,159,Schäftlarn
"Band 3, I","Siegertsbrunn, Pfarrkirche St. Peter",0,Sakral,"Siegertsbrunn, St. Peter, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 160-162.","Böhm, Cordula",,X,,160,162,Siegertsbrunn
"Band 3, I","Siegertsbrunn, Filial- und Wallfahrtskirche St. Leonhard",0,Sakral,"Siegertsbrunn, St. Leonhard, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 163-168.","Böhm, Cordula",,X,,163,168,Siegertsbrunn
"Band 3, I","Taufkirchen (Kr. München), Pfarrkirche St. Johannes der Täufer",0,Sakral,"Taufkirchen, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 169-173.","Böhm, Cordula/Lüdicke, Lore",,X,,169,173,Taufkirchen (Kr. München)
"Band 3, I","Unterföhring, Pfarrkirche St. Valentin",0,Sakral,"Unterföhring, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 174-179.","Böhm, Cordula/Lüdicke, Lore",,X,,174,179,Unterföhring
"Band 3, I","Zell (Schäftlarn), Filialkirche St. Michael",0,Sakral,"Zell, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 180-181.","Böhm, Cordula",,X,,180,181,Zell (Schäftlarn)
"Band 3, I","München, ehem. Klosterkirche St. Anna Damenstift",0,Sakral,"St. Anna Damenstift, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 185-190.","Sinkel, Kristin/Bauer-Wild, Anna",,X,,185,190,München
"Band 3, I","München-Lehel, ehem. Klosterkirche St. Anna",0,Sakral,"St. Anna im Lehel, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 191-195.","Sinkel, Kristin/Bauer-Wild, Anna",,X,,191,195,München-Lehel
"Band 3, I","München, Bürgersaal",0,Profan,"Bürgersaal, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 196-208.","Sinkel, Kristin",,X,,196,208,München
"Band 3, I","München, ehem. Kloster der Elisabethinerinnen",0,Sakral,"Ehem. Kloster der Elisabethinerinnen, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 209-213.","Bauer-Wild, Anna/Böhm, Cordula",,X,,209,213,München
"Band 3, I","München, Kapelle des ehem. Instituts der Englischen Fräulein",0,Sakral,"Ehem. Institut der Englischen Fräulein, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 214-219.","Sinkel, Kristin",,X,,214,219,München
"Band 3, I","München, Stadtpfarrkirche zu Unserer Lieben Frau, sog. Frauenkirche",0,Sakral,"Frauenkirche, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 220-223.","Volk-Knüttel, Brigitte",,X,,220,223,München
"Band 3, I","München, Ehem. Spitalkirche Hl. Geist",0,Sakral,"Hl. Geist, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 224-230.","Sinkel, Kristin",,X,,224,230,München
"Band 3, I","München, Ehem. Klosterkirche St. Jakob am Anger",0,Sakral,"St. Jakob am Anger, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 231-234.","Böhm, Cordula",,X,,231,234,München
"Band 3, I","München, ehem. Jesuitenkolleg von St. Michael",0,Sakral,"Ehem. Jesuitenkolleg, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 235-247.","Baur, Eva-Gesine",,X,,235,247,München
"Band 3, I","München, Stadtpfarrkirche St. Peter",0,Sakral,"St. Peter, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 248-255.","Böhm, Cordula",,X,,248,255,München
