Band,Bauwerk,Modul,Eigenschaft,Literaturangabe,Autor,Eingabe komplett,"Datenbankeintrag (Bild, Kurztext, Literaturverweis, basis Strukturdaten)",Notiz,Seite_von,Seite_bis,Ort
"Band 12, II","Jakobsberg, Filialkirche St. Jakobus der Ältere",0,Sakral,"Jakobsberg, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd.12: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis Rosenheim, Teil 2 Jakobsberg bis Windhag, München 2006, S.305-307.","Bauer-Wild, Anna",,,,305,307,Jakobsberg
"Band 12, II","Kemathen, Pfarrkirche St. Martin",0,Sakral,"Kemathen, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd.12: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis Rosenheim, Teil 2 Jakobsberg bis Windhag, München 2006, S.308-309.","Bauer-Wild, Anna / Sinkel, Kristin",,,,308,309,Kemathen
"Band 12, II","Kiefersfelden, sog. Johann-Nepomuk-Kapelle",0,Sakral,"Kiefersfelden, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd.12: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis Rosenheim, Teil 2 Jakobsberg bis Windhag, München 2006, S.310-312.","Sinkel, Kristin",,,,310,312,Kiefersfelden
"Band 12, II","Kirchloibersdorf, Filialkirche St. Petrus",0,Sakral,"Kirchloibersdorf, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd.12: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis Rosenheim, Teil 2 Jakobsberg bis Windhag, München 2006, S.313-316.","Bauer-Wild, Anna",,,,313,316,Kirchloibersdorf
"Band 12, II","Kirchwald, Filial- und Wallfahrtskirche Mariä Heimsuchung",0,Sakral,"Kirchwald, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd.12: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis Rosenheim, Teil 2 Jakobsberg bis Windhag, München 2006, S.317-324.","Bauer-Wild, Anna",,,,317,324,Kirchwald
"Band 12, II","Kleinhöhenrain, Filialkirche St. Bartholomäus",0,Sakral,"Kleinhöhenrain, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd.12: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis Rosenheim, Teil 2 Jakobsberg bis Windhag, München 2006, S.325-331.","Bauer-Wild, Anna",,,,325,331,Kleinhöhenrain
"Band 12, II","Kleinholzhausen, Filialkirche St. Johannes der Täufer",0,Sakral,"Kleinholzhausen, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd.12: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis Rosenheim, Teil 2 Jakobsberg bis Windhag, München 2006, S.332-334.","Bauer-Wild, Anna",,,,332,334,Kleinholzhausen
"Band 12, II","Lampferding, Kuratiekirche Mariä Himmelfahrt",0,Sakral,"Lampferding, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd.12: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis Rosenheim, Teil 2 Jakobsberg bis Windhag, München 2006, S.335-342.","Sauerländer, Brigitte",,,,335,342,Lampferding
"Band 12, II","Leonhardspfunzen, Kapelle",0,Sakral,"Leonhardspfunzen, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd.12: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis Rosenheim, Teil 2 Jakobsberg bis Windhag, München 2006, S.343-345.","Bauer-Wild, Anna",,,,343,345,Leonhardspfunzen
"Band 12, II","Lippertskirchen, Filialkirche Maria Morgenstern",0,Sakral,"Lippertskirchen, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd.12: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis Rosenheim, Teil 2 Jakobsberg bis Windhag, München 2006, S.346-355.","Bauer-Wild, Anna / Sinkel, Kristin",,,,346,355,Lippertskirchen
"Band 12, II","Maxlrain, Schloss",0,Profan,"Maxlrain, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd.12: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis Rosenheim, Teil 2 Jakobsberg bis Windhag, München 2006, S.356-359.","Bauer-Wild, Anna",,,,356,359,Maxlrain
"Band 12, II","Neukirchen am Simssee, Filial- und Wallfahrtskirche Johannes der Täufer",0,Sakral,"Neukirchen am Simssee, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd.12: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis Rosenheim, Teil 2 Jakobsberg bis Windhag, München 2006, S.360-366.","Bauer-Wild, Anna / Sinkel, Kristin",,,,360,366,Neukirchen am Simssee
